Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.31,0.91,0.361061066
100% Corpus,3,symmetric,0.91,0.361061066
100% Corpus,7,0.91,0.91,0.360852171
100% Corpus,4,asymmetric,symmetric,0.360596965
100% Corpus,3,0.31,0.31,0.360548165
100% Corpus,3,0.31,symmetric,0.360548165
100% Corpus,3,0.61,symmetric,0.360548165
100% Corpus,3,symmetric,0.31,0.360548165
100% Corpus,3,symmetric,symmetric,0.360548165
100% Corpus,10,0.31,0.61,0.360437335
100% Corpus,4,0.61,0.01,0.360109275
100% Corpus,9,0.31,symmetric,0.359718877
75% Corpus,10,0.91,0.91,0.359412951
75% Corpus,9,0.61,symmetric,0.359194307
75% Corpus,8,symmetric,0.61,0.358982618
75% Corpus,10,0.31,0.61,0.358870561
100% Corpus,4,0.31,0.01,0.358690654
100% Corpus,4,symmetric,0.01,0.358690654
75% Corpus,10,asymmetric,0.31,0.358484731
100% Corpus,10,0.01,0.91,0.358215734
100% Corpus,10,symmetric,0.31,0.35785057
100% Corpus,8,0.61,0.61,0.357707679
100% Corpus,9,symmetric,0.91,0.357442684
75% Corpus,10,0.01,0.31,0.357426851
100% Corpus,10,0.01,0.31,0.357054015
75% Corpus,9,0.31,0.91,0.35638665
100% Corpus,10,asymmetric,0.31,0.356193247
75% Corpus,9,0.61,0.31,0.355695185
75% Corpus,8,0.31,0.91,0.355678174
100% Corpus,6,0.01,0.91,0.355492381
100% Corpus,3,0.31,0.01,0.355442869
100% Corpus,3,symmetric,0.01,0.355442869
100% Corpus,4,0.01,0.01,0.355365796
100% Corpus,3,0.61,0.01,0.355173659
100% Corpus,9,0.61,0.91,0.355074801
75% Corpus,9,symmetric,0.31,0.354560535
75% Corpus,9,0.01,0.31,0.354530121
75% Corpus,9,symmetric,0.01,0.353812982
100% Corpus,8,0.01,symmetric,0.353690049
100% Corpus,9,symmetric,0.61,0.353122635
100% Corpus,3,0.01,0.31,0.352830198
100% Corpus,3,0.01,symmetric,0.352830198
100% Corpus,3,0.61,0.31,0.352710579
100% Corpus,3,0.91,0.31,0.352710579
100% Corpus,3,0.91,symmetric,0.352710579
75% Corpus,9,0.31,0.01,0.35256318
75% Corpus,10,symmetric,0.61,0.352410134
75% Corpus,9,0.01,0.01,0.352409028
100% Corpus,8,asymmetric,symmetric,0.351353517
100% Corpus,10,0.01,0.61,0.3509664
100% Corpus,9,0.31,0.91,0.350951496
100% Corpus,10,symmetric,0.61,0.350895447
100% Corpus,2,0.31,0.91,0.350665334
100% Corpus,2,0.61,0.61,0.350665334
100% Corpus,2,0.61,0.91,0.350665334
100% Corpus,2,0.61,symmetric,0.350665334
100% Corpus,2,0.91,0.61,0.350665334
100% Corpus,2,0.91,0.91,0.350665334
100% Corpus,2,0.91,symmetric,0.350665334
100% Corpus,2,symmetric,0.61,0.350665334
100% Corpus,2,symmetric,0.91,0.350665334
75% Corpus,10,0.91,0.61,0.350652903
75% Corpus,8,0.01,0.91,0.350389869
75% Corpus,9,0.31,symmetric,0.350190015
75% Corpus,10,0.61,0.61,0.349955387
100% Corpus,3,0.91,0.01,0.349482787
75% Corpus,8,symmetric,0.91,0.349291545
75% Corpus,10,0.01,0.61,0.348565552
100% Corpus,4,asymmetric,0.91,0.347557621
100% Corpus,8,0.01,0.31,0.347480357
75% Corpus,9,symmetric,symmetric,0.347413258
75% Corpus,10,0.01,symmetric,0.34681733
100% Corpus,8,asymmetric,0.31,0.346355633
75% Corpus,9,0.31,0.31,0.346091279
75% Corpus,10,symmetric,symmetric,0.345934716
75% Corpus,9,0.01,symmetric,0.345406348
100% Corpus,2,asymmetric,0.91,0.345287395
100% Corpus,3,asymmetric,0.31,0.344498347
100% Corpus,3,asymmetric,symmetric,0.344498347
100% Corpus,3,0.01,0.01,0.344480222
100% Corpus,8,symmetric,0.31,0.343712923
100% Corpus,7,asymmetric,0.91,0.34235611
75% Corpus,9,0.91,0.91,0.342294671
100% Corpus,8,asymmetric,0.61,0.341178264
100% Corpus,2,0.01,0.01,0.3403191
100% Corpus,2,0.01,0.31,0.3403191
100% Corpus,2,0.01,0.61,0.3403191
100% Corpus,2,0.01,0.91,0.3403191
100% Corpus,2,0.01,symmetric,0.3403191
100% Corpus,2,0.31,0.01,0.3403191
100% Corpus,2,0.31,0.31,0.3403191
100% Corpus,2,0.31,0.61,0.3403191
100% Corpus,2,0.31,symmetric,0.3403191
100% Corpus,2,0.61,0.01,0.3403191
100% Corpus,2,0.61,0.31,0.3403191
100% Corpus,2,0.91,0.01,0.3403191
100% Corpus,2,0.91,0.31,0.3403191
100% Corpus,2,symmetric,0.01,0.3403191
100% Corpus,2,symmetric,0.31,0.3403191
100% Corpus,2,symmetric,symmetric,0.3403191
100% Corpus,2,asymmetric,0.01,0.3403191
100% Corpus,2,asymmetric,0.31,0.3403191
100% Corpus,2,asymmetric,0.61,0.3403191
100% Corpus,2,asymmetric,symmetric,0.3403191
75% Corpus,2,asymmetric,0.01,0.340311226
75% Corpus,2,asymmetric,0.31,0.340311226
75% Corpus,2,asymmetric,0.61,0.340311226
75% Corpus,2,asymmetric,symmetric,0.340311226
100% Corpus,9,0.61,0.61,0.339850347
100% Corpus,4,asymmetric,0.01,0.339365727
100% Corpus,8,asymmetric,0.91,0.339110784
75% Corpus,8,0.01,0.61,0.338280496
75% Corpus,9,0.61,0.91,0.337989148
100% Corpus,10,asymmetric,0.61,0.337987172
75% Corpus,2,asymmetric,0.91,0.337939805
100% Corpus,8,0.61,0.91,0.337130523
100% Corpus,9,0.31,0.61,0.336730266
100% Corpus,3,asymmetric,0.01,0.336712607
100% Corpus,8,0.31,0.61,0.335030274
100% Corpus,10,asymmetric,0.91,0.32951774
75% Corpus,2,0.01,0.01,0.327253781
75% Corpus,2,0.01,0.31,0.327253781
75% Corpus,2,0.01,0.61,0.327253781
75% Corpus,2,0.01,0.91,0.327253781
75% Corpus,2,0.01,symmetric,0.327253781
75% Corpus,2,0.31,0.01,0.327253781
75% Corpus,2,0.31,0.31,0.327253781
75% Corpus,2,0.31,0.61,0.327253781
75% Corpus,2,0.31,0.91,0.327253781
75% Corpus,2,0.31,symmetric,0.327253781
75% Corpus,2,0.61,0.01,0.327253781
75% Corpus,2,0.61,0.31,0.327253781
75% Corpus,2,0.61,0.61,0.327253781
75% Corpus,2,0.61,0.91,0.327253781
75% Corpus,2,0.61,symmetric,0.327253781
75% Corpus,2,0.91,0.01,0.327253781
75% Corpus,2,0.91,0.31,0.327253781
75% Corpus,2,0.91,0.61,0.327253781
75% Corpus,2,0.91,0.91,0.327253781
75% Corpus,2,0.91,symmetric,0.327253781
75% Corpus,2,symmetric,0.01,0.327253781
75% Corpus,2,symmetric,0.31,0.327253781
75% Corpus,2,symmetric,0.61,0.327253781
75% Corpus,2,symmetric,0.91,0.327253781
75% Corpus,2,symmetric,symmetric,0.327253781
100% Corpus,8,symmetric,0.61,0.319129067
100% Corpus,8,0.31,0.91,0.318571804
100% Corpus,8,symmetric,0.91,0.31563415
100% Corpus,8,0.01,0.91,0.312288229
100% Corpus,8,0.01,0.61,0.311586116
