Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,8,0.31,0.01,0.282746511
100% Corpus,8,symmetric,0.01,0.282746511
100% Corpus,10,0.31,0.01,0.28268516
100% Corpus,9,asymmetric,0.01,0.282640698
75% Corpus,10,asymmetric,0.01,0.282573697
75% Corpus,6,0.01,0.31,0.282571914
100% Corpus,8,symmetric,symmetric,0.282445717
100% Corpus,10,0.01,0.01,0.282328226
100% Corpus,10,symmetric,0.01,0.282328226
100% Corpus,10,asymmetric,0.01,0.282239219
75% Corpus,6,0.01,0.01,0.282230182
75% Corpus,6,0.31,0.01,0.282230182
75% Corpus,6,symmetric,0.01,0.282230182
75% Corpus,8,0.31,0.61,0.281940266
100% Corpus,4,0.01,symmetric,0.28193399
75% Corpus,5,0.31,0.91,0.281759203
75% Corpus,5,0.61,0.91,0.281759203
75% Corpus,6,0.01,0.61,0.281743298
75% Corpus,6,0.31,0.61,0.281743298
75% Corpus,6,0.61,0.61,0.281743298
75% Corpus,6,symmetric,0.61,0.281743298
100% Corpus,4,0.31,0.01,0.281430246
100% Corpus,4,0.61,0.01,0.281430246
100% Corpus,4,0.91,0.01,0.281430246
100% Corpus,4,symmetric,0.01,0.281430246
100% Corpus,4,asymmetric,0.01,0.281430246
100% Corpus,4,0.01,0.61,0.281384229
100% Corpus,10,0.01,symmetric,0.281217992
75% Corpus,7,0.01,0.31,0.281045373
75% Corpus,7,0.31,0.31,0.281045373
75% Corpus,7,0.61,0.31,0.281045373
75% Corpus,7,0.91,0.31,0.281045373
75% Corpus,7,symmetric,0.31,0.281045373
75% Corpus,8,0.01,0.61,0.280614073
75% Corpus,8,symmetric,0.61,0.280614073
100% Corpus,8,0.31,0.31,0.28024979
75% Corpus,5,0.01,0.91,0.280117495
100% Corpus,10,asymmetric,symmetric,0.279780388
75% Corpus,8,asymmetric,0.91,0.279622794
100% Corpus,9,0.91,0.31,0.279455616
75% Corpus,5,0.91,0.91,0.279085787
75% Corpus,9,0.31,0.01,0.278733897
75% Corpus,5,0.61,0.01,0.278638989
75% Corpus,5,0.91,0.01,0.278638989
100% Corpus,10,symmetric,symmetric,0.278635909
75% Corpus,5,0.01,0.61,0.278246802
75% Corpus,5,symmetric,0.91,0.278217961
100% Corpus,4,0.91,0.91,0.278115684
75% Corpus,5,0.31,0.61,0.277788044
75% Corpus,5,0.61,0.61,0.277788044
75% Corpus,5,symmetric,0.61,0.277788044
75% Corpus,5,0.91,0.61,0.277560726
75% Corpus,9,0.91,0.01,0.277458524
75% Corpus,5,asymmetric,0.91,0.276994876
75% Corpus,5,0.31,0.01,0.276896692
75% Corpus,5,symmetric,0.01,0.276896692
75% Corpus,5,0.01,0.01,0.27681178
75% Corpus,7,asymmetric,0.31,0.276781958
75% Corpus,9,asymmetric,0.01,0.276578186
75% Corpus,9,symmetric,0.01,0.275946842
75% Corpus,9,0.01,0.01,0.275875335
75% Corpus,9,0.61,0.01,0.275795454
100% Corpus,4,0.01,0.01,0.275714015
75% Corpus,5,asymmetric,0.01,0.275713397
100% Corpus,5,0.01,0.31,0.275545485
100% Corpus,5,symmetric,0.31,0.275545485
75% Corpus,3,0.01,0.91,0.275398278
75% Corpus,3,0.31,0.91,0.275398278
75% Corpus,3,0.61,0.91,0.275398278
75% Corpus,3,0.91,0.91,0.275398278
75% Corpus,3,symmetric,0.91,0.275398278
100% Corpus,3,0.01,0.31,0.275207708
100% Corpus,3,0.01,symmetric,0.275207708
100% Corpus,3,0.31,0.31,0.275207708
100% Corpus,3,0.31,symmetric,0.275207708
100% Corpus,3,0.61,0.31,0.275207708
100% Corpus,3,0.61,symmetric,0.275207708
100% Corpus,3,0.91,0.31,0.275207708
100% Corpus,3,0.91,symmetric,0.275207708
100% Corpus,3,symmetric,0.31,0.275207708
100% Corpus,3,symmetric,symmetric,0.275207708
100% Corpus,3,asymmetric,0.31,0.275207708
100% Corpus,3,asymmetric,symmetric,0.275207708
100% Corpus,5,asymmetric,0.31,0.275192085
75% Corpus,10,0.31,symmetric,0.2749392
100% Corpus,5,0.91,0.31,0.274898461
100% Corpus,10,0.01,0.31,0.274872193
100% Corpus,10,symmetric,0.31,0.274872193
